sample_id,label,talk_id,persona_id,profile_id,bytes,sha256,path
s_000008,E12,Pro_12423_00009,Pro_12423,Pro_12423,16165542,127d6c207d616924b758c72115611a8dc276c2cb0b414c5836cf81be3afa2a42,data/raw/s_000008/raw_trace.json
s_000014,E68,Pro_10859_00007,Pro_10859,Pro_10859,6188434,2e682ae95c0c3d9d7feda90de1555c7e8b31c86aa08a463772dcd77db01571ad,data/raw/s_000014/raw_trace.json
s_000032,E69,Pro_05400_00016,Pro_05400,Pro_05400,7732802,0be573ce6270ae72899fb16a114d2dcc49d67e85443573a7e5e41d952ebc70f1,data/raw/s_000032/raw_trace.json
s_000033,E47,Pro_05138_00027,Pro_05138,Pro_05138,29798172,b58a3a35ebead37ef2673a4b7364c7d522686e5328e13baf6b48282ea7e02282,data/raw/s_000033/raw_trace.json
s_000070,E29,Pro_05360_00037,Pro_05360,Pro_05360,12127459,bae36c6dba01aa1a2985bf3286d44f74d6a98e5405eb0617a53f520b62ff2e11,data/raw/s_000070/raw_trace.json
s_000109,E59,Pro_07070_00025,Pro_07070,Pro_07070,15990498,efa8eadd683d04eca7a555d09d1c8abba62cbeb8a4fe28056f9d598c4bcc81fe,data/raw/s_000109/raw_trace.json
s_000149,E62,Pro_05393_00032,Pro_05393,Pro_05393,8596753,3d1d3fb391bfd06958cfa9ecf9f2ae1de7282a20122bf11cffdb2c3aaf9dd61b,data/raw/s_000149/raw_trace.json
s_000166,E28,Pro_03559_00002,Pro_03559,Pro_03559,17626124,226bc69533368acc8ad48f0fea5464f666769377eb82bf4b5a5897fde3385585,data/raw/s_000166/raw_trace.json
s_000179,E59,Pro_05270_00017,Pro_05270,Pro_05270,14276630,2910481e7eee843206c7cdfc136fedfcb94bd2d6d54554e3b5ebcb266d4de17d,data/raw/s_000179/raw_trace.json
s_000184,E60,Pro_01911_00019,Pro_01911,Pro_01911,22438925,7556c863ab9682d07626bccf3b4318f010906097c0dbf0a0f9b26434476d982a,data/raw/s_000184/raw_trace.json
s_000196,E66,Pro_09777_00001,Pro_09777,Pro_09777,8403518,b226c769528226449c8ffcea99293120af29d10b88082ac27767d4501d0c1e0b,data/raw/s_000196/raw_trace.json
s_000205,E37,Pro_11368_00062,Pro_11368,Pro_11368,13460343,347d7b631b75b5a98d4cb18b971de2ea98c99be51a6dfcdfca7c9375e0b8cb27,data/raw/s_000205/raw_trace.json
s_000211,E33,Pro_01644_00050,Pro_01644,Pro_01644,16751509,3f56852e6466cd3d069b64117856033ae6c4d793c83f45b3d6faae388df95c87,data/raw/s_000211/raw_trace.json
s_000314,E17,Pro_00068_00028,Pro_00068,Pro_00068,13111023,5c9e7123f8318f1b74620f574546a354f0bba5b586fdf77a18659fabf67869d0,data/raw/s_000314/raw_trace.json
s_000321,E47,Pro_00218_00019,Pro_00218,Pro_00218,21307489,79c6015a1359ec32e86473c9589905b644ac775b1ea8014718327a9ead0b198c,data/raw/s_000321/raw_trace.json
s_000393,E52,Pro_12463_00011,Pro_12463,Pro_12463,21704149,5d2303d0873997ee51a4e630041b6ad8e21134c44bfd982efb132acc51050a40,data/raw/s_000393/raw_trace.json
s_000414,E31,Pro_08962_00017,Pro_08962,Pro_08962,4247994,72834e77a7e9b461c6d73959260ed57038eed2cd6b29024dee7772867b882588,data/raw/s_000414/raw_trace.json
s_000463,E31,Pro_00082_00049,Pro_00082,Pro_00082,17252401,0e523922466c98f542018b39282f368bd5024d52e11ed7f83bb5c8fd1ed1bf17,data/raw/s_000463/raw_trace.json
s_000471,E44,Pro_05255_00001,Pro_05255,Pro_05255,15189197,5c06d761d7cad7b04434609ab08aac8bae20d2cfc61384351805748af4fd2b4a,data/raw/s_000471/raw_trace.json
s_000527,E37,Pro_07408_00008,Pro_07408,Pro_07408,12005,bec6abe02ccb7dfab701d607145847fcc21ec8bc78f1c877817ca0389d4cc967,data/raw/s_000527/raw_trace.json
s_000538,E51,Pro_05262_00002,Pro_05262,Pro_05262,29103973,36c8bf67d16cea9a7ec0cabe59bf9b5891d71840e28d8e1a0fb80e1077b5dc39,data/raw/s_000538/raw_trace.json
s_000555,E51,Pro_08982_00009,Pro_08982,Pro_08982,8823898,3f93236859eab84b4fb4e344355a7664303837bfd7d1b8c9069d55b99eae81bb,data/raw/s_000555/raw_trace.json
s_000567,E39,Pro_01770_00004,Pro_01770,Pro_01770,12713788,d128ede0e762b9f36eb4bdee004e32c61eabf3b7485e43bb2cf9461fd4d6a67b,data/raw/s_000567/raw_trace.json
s_000594,E61,Pro_07072_00006,Pro_07072,Pro_07072,10595246,bb535cce2274f03c5c197b86b1dc99a509ab4de605a2f73aaaf9f67a0142a188,data/raw/s_000594/raw_trace.json
s_000605,E37,Pro_01768_00019,Pro_01768,Pro_01768,13331657,4271b91b52073bf8cf2b9a0cf45f90eb612c3e85735896ccc10969bf35369da3,data/raw/s_000605/raw_trace.json
s_000670,E18,Pro_00309_00026,Pro_00309,Pro_00309,10571356,fc73ed1d5509c327eb4ccec52a8fd075f75b3d93f53bb848cbdc94e0d0d22dd7,data/raw/s_000670/raw_trace.json
s_000705,E52,Pro_07303_00024,Pro_07303,Pro_07303,26562015,dfad3b06e95edf40cdd0feb1d2568bad0eea15f580f8cff858c50591cad8402e,data/raw/s_000705/raw_trace.json
s_000721,E45,Pro_03576_00016,Pro_03576,Pro_03576,10175188,f7e32a6a97b17213788acf9afee3801191b9b916f2b6afe9ee3f07e84a461be3,data/raw/s_000721/raw_trace.json
s_000787,E59,Pro_00110_00048,Pro_00110,Pro_00110,21719474,e7ad64ad849d12c306aa1525ddce726e1c1c5987fb99021e6f1cc7fb492fd692,data/raw/s_000787/raw_trace.json
s_000798,E34,Pro_10885_00033,Pro_10885,Pro_10885,17637671,cb0ffe27c73ca987eed3169b20fd28d94ceaf16420676152703f6a7e5cc203f6,data/raw/s_000798/raw_trace.json
s_000803,E28,Pro_01759_00033,Pro_01759,Pro_01759,19016546,fa75a452a50f1e1c4536e5c3e12605a911dc1129aa9cf77448a46a09b0176cb1,data/raw/s_000803/raw_trace.json
s_000807,E27,Pro_00078_00022,Pro_00078,Pro_00078,13629325,d9d3954f553fe537be410ff5171d70b3db2ca1ac4ba512ef15312fa30130ecdb,data/raw/s_000807/raw_trace.json
s_000869,E63,Pro_08634_00002,Pro_08634,Pro_08634,23816073,b89c3e9df1ee8657a5cc655a8cc2fcec026385ed3110c79b9dcf7a044b442c5a,data/raw/s_000869/raw_trace.json
s_000879,E47,Pro_01898_00011,Pro_01898,Pro_01898,26941275,7ac7dc287d0be2fd4338bb627dc314a63424281f565ac45ab490c97fcbba1bb8,data/raw/s_000879/raw_trace.json
s_000889,E56,Pro_10667_00029,Pro_10667,Pro_10667,20836902,0f4494462e855b8630802fc1f66605a3621ffca2ba9fadb7aee39c5298c602fc,data/raw/s_000889/raw_trace.json
s_000929,E38,Pro_01769_00009,Pro_01769,Pro_01769,6349637,c575b95260cbd9b84d9e68758f5121c51727e545f36b74c89f65c779bb762a4b,data/raw/s_000929/raw_trace.json
s_001006,E28,Pro_08719_00020,Pro_08719,Pro_08719,15486744,201b3fed260b8536cad8a24f06ac6e11bf378def9b31cd457b64c642209b7c4a,data/raw/s_001006/raw_trace.json
s_001055,E59,Pro_05390_00019,Pro_05390,Pro_05390,14554598,e27b3ea028c81cdf1d4652fcc6132efd7b89d2bfa307b64ad7a4464378187675,data/raw/s_001055/raw_trace.json
s_001116,E40,Pro_10891_00033,Pro_10891,Pro_10891,16489556,b1d33abf7e46cfca0e1567fb0e3a274e9b04b573d0525226c4f6aa725c81061d,data/raw/s_001116/raw_trace.json
s_001146,E43,Pro_12214_00031,Pro_12214,Pro_12214,24602751,b2238ea820b97499a2440955a6de9105b267eea1847519cfdcd3a516fb78e702,data/raw/s_001146/raw_trace.json
s_001174,E21,Pro_05352_00032,Pro_05352,Pro_05352,11511540,05faacdea74e04111a8d7bc12a38e0415dd0a2f057fb8e2462db9f41e038acba,data/raw/s_001174/raw_trace.json
s_001185,E64,Pro_05275_00007,Pro_05275,Pro_05275,27490852,4c8b5e4cd9bbddaf40c8ec353726baa5bea1fae24c4c2bcde521289f5914c3a5,data/raw/s_001185/raw_trace.json
s_001226,E17,Pro_08948_00002,Pro_08948,Pro_08948,12576230,98a8e6c7bd56dbaf6d9302e5ebdc86e7ec997ef146165f7e3358e8d0098c823d,data/raw/s_001226/raw_trace.json
s_001242,E54,Pro_00105_00015,Pro_00105,Pro_00105,19779455,ec943dc9928984bdc98958014b3cb969534fc6363f63a700c53c2b1404c204e1,data/raw/s_001242/raw_trace.json
s_001255,E42,Pro_11373_00067,Pro_11373,Pro_11373,20804399,3386b80ea4972540da91f3f629a52d16538df414182f68e443364292dbf0a486,data/raw/s_001255/raw_trace.json
s_001261,E61,Pro_03592_00001,Pro_03592,Pro_03592,21203827,5ddb5265b5eea27d5bac3c0921601d4a9eaf6201834306b24b348d4dce4c1a17,data/raw/s_001261/raw_trace.json
